,keyword,text,target
78,accident,  mile marker south mooresvil retel vehicl accid congest pm,1
79,accident,  pastor scene accid owner rang rover,1
80,accident,  mom get home fast wish mom accid truck spilt mayonnais,0
81,accident,  horribl car accid past sunday final abl get around thank god,1
82,accident,  wait see piss donn tell anoth accid,0
83,accident,  truckcrash overturn outworth interst click crash gt,1
84,accident,  accid nashvil us sb sr traffic,1
85,accident,  carolina accid motorcyclist die crash car cross median motorcycl rider travel,1
86,accident,  foi cad foi accid properti damag no piner rd downdal dr,1
87,accident,  rt navi first accid year turn onto chandane kagu near taxi ram halfway turn everyon conf,1
88,accident,  accid left lane block manchest rt nb eddi rd stop go traffic back delay min traffic,1
89,accident,  accid properti damag piner rd downdal dr,1
90,accident,  accid,0
91,accident,  foi cad foi accid properti damag wad th st,1
92,accident,  pm traffic accid injuri will foreman rd,1
93,accident,  aashiqui actress anu agarw near fatal accid,1
94,accident,  subfield alberta accid,1
95,accident,  mile backup south accid block right lane exit langret rd consid altern,1
96,accident,  accid chang life help determin option financi support life care plan go treatment,0
97,accident,  break deadli motorcycl car accid happen hagerstown today detail state,1
98,accident,  floor marinad accid,0
99,accident,  car even week got fuck car accid ms fuck drive,1
100,accident,  norwaymfa bahrain polic previous die road accid kill explos,1
101,accident,  still heard church leader kenya come forward comment accid issu disciplinari measur arrestpastornganga,0
102,aftershock,  aftershock del scut ps live game ca,0
103,aftershock,  man drive effort get pain man win roger bannist,0
104,aftershock,  ir iceman aftershock djicemoon dust trapmus dub ed danc ice,0
105,aftershock,  victori bargain basement price dwight david eisenhow,0
106,aftershock,  ir iceman aftershock djicemoon dust trapmus dub ed danc ice,0
107,aftershock,  nobodi rememb came second charl schultz,0
108,aftershock,  aftershock del im speak someon use scut b peopl end get ps also,0
109,aftershock,  harder conflict gloriou triumph thoma pain,0
110,aftershock,  growingupspoil go clay pigeon shoot cri aftershock,0
111,aftershock,  guess one actual want free aftershock tc,0
112,aftershock,  aftershock terrifi best roller coaster ever disclaim,0
113,aftershock,  aftershock,0
114,aftershock,  ir iceman aftershock djicemoon dust trapmus dub ed danc ice,0
115,aftershock,  ir iceman aftershock djicemoon dust trapmus dub ed danc ice,0
116,aftershock,  ir iceman aftershock djicemoon dust trapmus dub ed danc ice,0
117,aftershock,  forday see issu aftershock,0
118,aftershock,  ir iceman aftershock djicemoon dust trapmus dub ed danc ice,0
119,aftershock,  ir iceman aftershock djicemoon dust trapmus dub ed danc ice,0
120,aftershock,  window bonu minut daili habit could realli improv life mani alreadi liftback,0
121,aftershock,  aftershock protect profit next global financi meltdown david widen http,0
122,aftershock,  moment get scari roller coaster guy behind scream bloodi murder silverwood aftershock,0
123,aftershock,  aftershock full stream coutur,0
124,aftershock,  gt gt aftershock protect profit next global financi book esquireattir,0
125,aftershock,  sometim face difficulti someth wrong someth right joel steen,0
126,aftershock,  thing stand dream tri belief actual possibl joel brown,0
127,aftershock,  prais god ministri tell like youth biblestudi,0
128,aftershock,  rememb go die best way know avoid trap think someth lose steve job,0
129,aftershock,  tri orang aftershock today life never,0
130,aftershock,  onfireand love bb,0
131,aftershock,  aftershock,0
132,aftershock,  aftershock back school kick great want thank everyon make possibl great night,0
133,aftershock,  peopl say done interrupt georg bernard shaw,0
134,aftershock,  first man get oyster second man get shell andrew carnegi,0
135,aftershock,  anyon need p u tonight play hybrid slayer ps eu hum cod sandscrim empirikgam codawscrim tp koto tafa aftershock org,0
136,airplane%20accident,  expert franc begin examin airplan debri found reunion island french air accid expert news,1
137,airplane%20accident,  strict liabil context airplan accid pilot error common compon aviat cr,1
138,airplane%20accident,  crobscarla lifetim odd die airplan accid,0
139,airplane%20accident,  expert franc begin examin airplan debri found reunion island french air accid expert wen,1
140,airplane%20accident,  alexalltimelow www airplan accid gon na die cuti good job,1
141,airplane%20accident,  famili member osaka bin laden die airplan accid iron mmmm gov shit suspect,1
142,airplane%20accident,  man goe airplan engin accid via coutur,1
143,airplane%20accident,  horribl accid man die wing airplan,1
144,airplane%20accident,  cessant airplan accid scampo coagula mexico juli kill four men includ state coagula govern offici,1
145,airplane%20accident,  horribl accid man die wing airplan watchthevideo,1
146,airplane%20accident,  expert franc begin examin airplan debri found reunion island french air accid expert wednesday,1
147,airplane%20accident,  expert franc begin examin airplan debri found reunion island french air accid expert wednesday began examin,1
148,airplane%20accident,  ca votejkt id mbataweel rip unladen famili member kill airplan accid,1
149,airplane%20accident,  almost sent cowork nude accid thank god airplan mode,0
150,airplane%20accident,  mickinyman theatlant might kill airplan accid night car wreck polit best,0
151,airplane%20accident,  expert franc begin examin airplan debri found reunion island french air accid expert mob,1
152,airplane%20accident,  unbeliev insan man airport airplan aircraft aeroplan runway accid freaki,1
153,airplane%20accident,  horribl accid man die wing airplan,1
154,airplane%20accident,  horribl accid man die wing airplan,1
155,airplane%20accident,  sama bin ladi famili dead airplan crash natur accid,1
156,airplane%20accident,  pilot die plane crash car festiv via coutur crash aircraft airplan pilot death accid carest,1
157,airplane%20accident,  strict liabil context airplan accid,1
158,airplane%20accident,  brazil expert franc begin examin airplan debri found reunion island french air accid exp,1
159,airplane%20accident,  expert franc begin examin airplan debri found reunion island french air accid expert wen,1
160,airplane%20accident,  horribl accid man die wing airplan waf believ eye,1
161,airplane%20accident,  nicol fletcher one victim crash airplan time ago accid left littl bit trauma although,1
162,airplane%20accident,  om horribl accid man die wing airplan,1
163,airplane%20accident,  om believ rip bro airplan accid jetengin turbojet bo g,1
164,airplane%20accident,  expert franc begin examin airplan debri found reunion island french air accid expert wednesday began examin,1
165,airplane%20accident,  airplan accid,1
166,airplane%20accident,  phone look like car ship airplan accid terribl,0
167,airplane%20accident,  statist risk get kill cop die airplan accid,0
168,airplane%20accident,  airplan crash hous colombia peopl die accid,1
169,airplane%20accident,  shoot airplan accid,1
170,airplane%20accident,  could drone caus airplan accid pilot worri use drone esp close vicin airport,1
171,ambulance,  earli wake call sister beg come amp ride w ambul hospit rodkiai,1
172,ambulance,  twelv fear kill pakistani air ambul helicopt crash,1
173,ambulance,  two air ambul scene seriou crash two car lorri eman,1
174,ambulance,  twelv fear kill pakistani air ambul helicopt crash router yugvani,1
175,ambulance,  lead emerg servic boss welcom new ambul chariti,0
176,ambulance,  anyon travel aberystwyth shrewsburi right incid servic halt outsid shrew ambul scene,1
177,ambulance,  twelv fear kill pakistani air ambul helicopt crash,1
178,ambulance,  ambul sprinter automat frontlin vehicl choic lez compliant bay,0
179,ambulance,  new nanosec devic abl target destroy blood clot,0
180,ambulance,  skyhawkmm triploid fredosantana lilrees hell crazi fight ambul coupl mosh pit,1
181,ambulance,  get run ambul lucki justifi randomthought,0
182,ambulance,  news twelv fear kill pakistani air ambul helicopt crash til dna,1
183,ambulance,  twelv fear kill pakistani air ambul helicopt crash,1
184,ambulance,  taplash wait ambul,0
185,ambulance,  fouseytub ok need ambul taharah good,0
186,ambulance,  ambul sprinter automat frontlin vehicl choic lez compliant bay,0
187,ambulance,  pakistan air ambul helicopt crash kill nine,1
188,ambulance,  thenissonian rejectdcartoon nissan ok need medic assist call ambul need,0
189,ambulance,  em ny eat petit per hour minimum wage em paramed ambul,0
190,ambulance,  twelv fear kill pakistani air ambul helicopt crash,1
191,ambulance,  twelv fear kill pakistani air ambul helicopt crash,1
192,ambulance,  ambul sprinter automat frontlin vehicl choic lez compliant bay,0
193,ambulance,  ambul sprinter automat frontlin vehicl choic lez compliant bay,0
194,ambulance,  kiwi karen check park lot said last year ambul st john,0
195,ambulance,  know way ambul come lt lt,1
196,ambulance,  router twelv fear kill pakistani air ambul helicopt crash,1
197,ambulance,  twelv fear kill pakistani air ambul helicopt crash,1
198,ambulance,  ambul right outsid work,0
199,ambulance,  leoblakecart dog think ambul,0
200,ambulance,  happen hatzolah em ambul respond dual siren,0
201,ambulance,  twelv fear kill pakistani air ambul helicopt crash,1
202,ambulance,  twelv fear kill pakistani air ambul helicopt crash,1
203,ambulance,  twelv fear kill pakistani air ambul helicopt crash worldview,1
204,ambulance,  twelv fear kill pakistani air ambul helicopt crash worldview,1
205,ambulance,  polic ambul number lesotho bodi know,0
206,ambulance,  medic face org surpris still standardis clinic practic across no ambul trust,0
207,ambulance,  twelv fear kill pakistani air ambul helicopt crash,1
208,ambulance,  peopl tri j walk ambul pass hate,0
209,annihilated,  episod trunk annihil friez cleanest shit ever show nigra merci,0
210,annihilated,  shall annihil petebest dessic laid bare shall kneel,0
211,annihilated,  urin annihil basebal met,0
212,annihilated,  marksmaponyan hey sundown annihil previou meet celtic inde improv,0
213,annihilated,  volcan snazzi mizzen annihil florida past season even end muschamp career compet kama,0
214,annihilated,  annihil ab,1
215,annihilated,  annihil statu educ mba behalf easi street careen eom,0
216,annihilated,  luke die everyth annihil alo tranc,0
217,annihilated,  acarewornheart good un fella sorri get annihil,0
218,annihilated,  cop pull drunk driver safeti second car hit train via viralspel,1
219,annihilated,  must annihil,0
220,annihilated,  cop pull drunk driver safeti second car hit train via viralspel,1
221,annihilated,  boom countri entir annihil h britain,0
222,annihilated,  amirkingkhan would annihil might well thank floydmayweath,0
223,annihilated,  one thing sure god promis israel annihil horror iran w nuke,0
224,annihilated,  violentfeminazi guess ok armenian sinc spent histori get annihil,1
225,annihilated,  year sinc annihil peopl instantli becam awar abil annihil whole human,1
226,annihilated,  day tryout went good minu fact stop quickli get short ball annihil toenail injuri even,0
227,annihilated,  oryx symbol arabian peninsula annihil hunter,1
228,annihilated,  luke die everyth annihil alo tranc,0
229,annihilated,  readi get annihil bud game,1
230,annihilated,  philipduncan breakfast peopl annihil last night weather realli philip thought would forecast,1
231,annihilated,  domain sophist annihil close minut feat zone,0
232,annihilated,  stormbird steel lord seen juda priest rob came back scorpion support fuck annihil place astonish gig,0
233,annihilated,  offici skip fantasticfour fant stick whatev hasht get annihil review bummer,0
234,annihilated,  tomcatart thu explain annihil case survivor evolv becam godlik,1
235,annihilated,  complet annihil csch paul began time aliv,0
236,annihilated,  tomcatart annihil legion survivor imperfect hybrid project quickli form new secret cell,0
237,annihilated,  sirbrandonknt exactli lesser cent match summerlay last year great brock annihil guy,0
238,annihilated,  cop pull drunk driver safeti second car hit train via viralspel,1
239,annihilated,  annihil damascu syrian armi grind allow gang manur pile,1
240,annihilated,  trade ok complet forthright may also food coma bc kebab tahini pickl also annihil w fri,0
241,annihilated,  fun fill happi hour simmon bar camden handsom one got annihil apart game,0
242,annihilated,  funni bristol sr annihil ball lcm,0
243,annihilation,  rvfriedmann hell fraction belief total annihil destruct usa lodisilverado ritzi jewel,1
244,annihilation,  potu mayb call israel tell sorri pre sold river annihil,0
245,annihilation,  evildead annihil civil,0
246,annihilation,  u nation park servic tonto nation forest stop annihil salt river wild hors via chang,0
247,annihilation,  annihil quarterstaff annihil,1
248,annihilation,  world annihil vs self transform alien attack extermin human,0
249,annihilation,  stargaz stearat planetari annihil via coutur,1
250,annihilation,  u nation park servic tonto nation forest stop annihil salt river wild hors via chang,0
251,annihilation,  u nation park servic tonto nation forest stop annihil salt river wild hors via chang,1
252,annihilation,  kimkardashian pleas sign share petit save wild hors arizona,0
253,annihilation,  u nation park servic tonto nation forest stop annihil salt river wild hors via chang,1
254,annihilation,  theellenshow pleas check salt river hors help stop annihil happen without signatur chang org,0
255,annihilation,  soul punish annihil,0
256,annihilation,  calfreedommom step mention major contributor annihil israel,1
257,annihilation,  willienelson need help hors die pleas rt amp sign petit take stand amp voic gilbert,1
258,annihilation,  reject law misguid fals prophet imprison nation fuel self annihil,0
259,annihilation,  u nation park servic tonto nation forest stop annihil salt river wild hors via chang,0
260,annihilation,  annihil web christi amp basic less hour away pleas god allow least one full day,0
261,annihilation,  barb twin need help hors die pleas rt amp sign petit take stand amp voic gilbert,0
262,annihilation,  whip need help hors die pleas rt amp sign petit take stand amp voic gilbert,0
263,annihilation,  hey az sign petit save pilhors tantonationalforest rollingston sing long order,0
264,annihilation,  stop annihil salt river wild hors via chang,1
265,annihilation,  sonofbaldwin current nova bootlast check tie book rider die annihil,0
266,annihilation,  u nation park servic tonto nation forest stop annihil salt river wild hors via chang,0
267,annihilation,  pleas sign amp rt save saltriverwildhors,0
268,annihilation,  thank count dant join us follow annihil zone johnni,0
269,annihilation,  world annihil vs self transform alien attack extermin human,1
270,annihilation,  u nation park servic tonto nation forest stop annihil salt river wild hors via chang,0
271,annihilation,  u nation park servic tonto nation forest stop annihil salt river wild hors via chang,1
272,apocalypse,  gon na fight taylor soon get,0
273,apocalypse,  oh fukurodani surviv apocalyps bouto feel horribl poor boy poor child,1
274,apocalypse,  anoth homelyn birthday apocalyps,0
275,apocalypse,  rt janenelson rt stephenscifi adapt watch charli human apocalyps option film sciencefict,0
276,apocalypse,  apocalyps pleas,0
277,apocalypse,  anoth hour august pm red rover zombi apocalyps internetradio collegeradi,1
278,apocalypse,  honeybunzgem primalkitchen feel like pull one stage apocalyps,0
279,apocalypse,  kinda hot play radio today next diseas apocalyps start everyon care,0
280,apocalypse,  apocalyps low,0
281,apocalypse,  know question interpret sign apocalyps call,1
282,apocalypse,  juliet r apocalyps version romeo juliet warmbodi,0
283,apocalypse,  apocalyps upon us,0
284,apocalypse,  rt fittscott mineshaft night lucki block mod bob apocalyps wither amp mod showcas popularmmo vi,0
285,apocalypse,  begin day one snow apocalyps,1
286,apocalypse,  rt mother mari short read apocalyps spirit angel took top enorm high mountain,0
287,apocalypse,  candlelit imagin sarum zombi apocalyps fight back back heart heart convers,0
288,apocalypse,  rt zonewolf like coutur video mineshaft night lucki block mod bob apocalyps wither amp mo,0
289,apocalypse,  planet lone audienc apocalyps,0
290,apocalypse,  dad bought look like scienc doc front read back actual impend biblic apocalyps,1
291,apocalypse,  alexandrapullin inde apocalyps come week know,0
292,apocalypse,  go look grizzli peak right look like begin dystopian apocalyps movi,0
293,apocalypse,  niec ask would scare apocalyps,0
294,apocalypse,  storm cairo latest x men apocalyps set photo via cahoot,1
295,apocalypse,  mineshaft night lucki block mod bob apocalyps wither amp mod showcas popularmmo via coutur,0
296,apocalypse,  shot heart xv go total give love bad name heart pierc,0
297,apocalypse,  rt geek apocalyps pm gmt dess play dark soul day etc,0
298,apocalypse,  know go zombi take,0
299,apocalypse,  latest bryansing reveal storm queen apocalyps rural alexshipppp,1
300,apocalypse,  shadow box apocalyps,1
301,apocalypse,  short read apocalyps spirit angel took top enorm high mountain,1
302,apocalypse,  enjoy live action attack titan everi time see poster remind freshli clean coif everyon apocalyps,0
303,apocalypse,  like coutur video mineshaft night lucki block mod bob apocalyps wither amp mod showcas,0
304,armageddon,  plan temporari abyss armageddon kill flag fast reason,0
305,armageddon,  plan temporari russeti armageddon kill flag fast reason,0
306,armageddon,  offici vid doublecup gt gt gt gt trudg prod thisizbwright gt gt armageddon,0
307,armageddon,  ouvindo peac love amp armageddon,0
308,armageddon,  best movi ever seen armageddon,0
309,armageddon,  bed time wake unless revolut armageddon start,0
310,armageddon,  red faction armageddon microdont box full read bay,0
311,armageddon,  katiekatcub alreadi know shit goe world seri armageddon,0
312,armageddon,  rt ophiuchu love truelov romanc lith voodoo seduct astrolog start lot apocalyps armageddon plan,0
313,armageddon,  im gon na beat armageddon su hao got flawless first tri,0
314,armageddon,  enew ben affect know wife kid girl help love sinc armageddon eonlinechat,0
315,armageddon,  long coat hand worn certainti armageddon bear sens occas,0
316,armageddon,  phone spi hidden back door na data mine softwar financi armageddon blog,0
317,armageddon,  plan temporari hider ghost armageddon kill flag fast reason,1
318,armageddon,  rt rtrrtcoach love truelov romanc lith voodoo seduct astrolog start lot apocalyps armageddon planet,0
319,armageddon,  plan temporari fighterdena armageddon kill flag fast reason,0
320,armageddon,  photo sketch base tast armageddon episod start to,0
321,armageddon,  armageddon,1
322,armageddon,  aberdeen aberdeenfanpag good luck tomorrow night get coeffici point pli armageddon,0
323,armageddon,  paddytomlinson armageddon,0
324,armageddon,  rohnertparkdp anoth one histori book thank justic depart way paid incom tax yr,0
325,armageddon,  vladimir rutin issu major warn late escap armageddon,1
326,armageddon,  god kingdom heavenli gov rule peopl earth armageddon,0
327,armageddon,  l b entertain lot brucewilli movi die hard monkey armageddon sixth bay auction,0
328,armageddon,  let talk goof guild saunder come right stage,0
329,armageddon,  karnythia niec gain abil stand get prepar toddler apocalyps armageddon,0
330,armageddon,  check pepper doomsday must librari collect cd shf preppertalk surviv pepper via bay,0
331,armageddon,  eker deep thought yesterday saw hell scari hail armageddon,1
332,armageddon,  ahmedi think messiah alreadi come year ago armageddon datal gog amp agog,0
333,armageddon,  sadli window reveal microdont ethic armageddon,0
334,armageddon,  armageddon avert el patron ultimalucha,0
335,armageddon,  samihonkonen time hour latest seri blueprint armageddon extrem impress,0
336,armageddon,  european fit till christma armageddon,0
337,armageddon,  christian unit israel cuff jew convert soon die armageddon us,0
338,armageddon,  offici vid gt doublecup gt gt gt gt trudg prod thisizbwright gt gt armageddon,0
339,armageddon,  tomorrow day start armageddon preseasonworkout,0
340,armageddon,  lee comedi leejasp work class tori prepar armageddon interestrateris,0
341,armageddon,  chart prove financi crisi part begun financi armageddon econom collaps blog track,0
342,armageddon,  paul craig robert vladimir rutin issu major warn late escap brick robert russia,1
343,armageddon,  rohnertparkdp stage right light funni get goofbal staff pd,0
344,armageddon,  offici vid thermal gt gt gt gt gt gt trudg gt gt gt armageddon come soon,0
345,armageddon,  well done celtic finger cross aberdeen tomorrow night armageddon eh,0
346,army,  beyond pick fan armi beehiv,0
347,army,  one direct pick fan armi direct x,0
348,army,  second summer pick fan armi sofa,0
349,army,  beyond pick fan armi beehiv,0
350,army,  beyond pick fan armi beehiv,0
351,army,  one direct pick fan armi direct x,0
352,army,  see armi whitewash first thing slightli intrigu got far,0
353,army,  build kingdom lead armi victori start g friend code lzktjnox,0
354,army,  salvat armi host ralli reconnect father children salvat armi host back school ralli,1
355,army,  vote direct vs queen th round billboard fanarmyfaceoff,0
356,army,  build armi dog leader lion dog fight like lion,1
357,army,  show hero tv review,0
358,army,  one direct pick fan armi direct x,1
359,army,  infantri men lumen dial armi analog quartz wrist watch sport blue nylon fabric full rea,0
360,army,  one direct pick fan armi direct x,0
361,army,  victorin swiss armi date women rubber mop watch,1
362,army,  rt drayesha indiakomuntorjawabdo indian armi ki,0
363,army,  second summer pick fan armi sofa,0
364,army,  beyond pick fan armi beehiv,0
365,army,  one direct pick fan armi direct x,0
366,army,  da one mtvsummerstar videoveranomtv mtvhottest brine spear lana del red,0
367,army,  one direct pick fan armi direct,0
368,army,  stoni jackson america last hope lead armi felon thu armi reject armi satan,0
369,army,  www wiwi japanes armi navi militari japan leather watch war mid full read bay,0
370,army,  beyond pick fan armi beehiv,0
371,army,  beyond pick fan armi beehiv,0
372,army,  beyond pick fan armi beehiv,0
373,army,  beyond pick fan armi beehiv,0
374,army,  potu appoint brig gen richard g kaiser member mississippi river commiss learn arc,0
375,army,  ap violent countri get armi involv help control kill bring back peac poor peopl,1
376,army,  www wiwi japanes armi navi militari japan leather watch war mid full read bay,0
377,army,  www wiwi japanes armi navi militari japan leather watch war mid full read bay,0
378,army,  one direct pick fan armi direct x,0
379,army,  one direct pick fan armi direct,0
380,arson,  two jewish terrorist charg histor church arson ugli truth,0
381,arson,  spokan author say struggl solv arson case like today hamilton,1
382,arson,  thousand attend ralli organ peac protest arson attack took life,1
383,arson,  add familia arson squad,0
384,arson,  anoth fake hate crime lesbian burn hous els new,1
385,arson,  lo angel time arson suspect link fire caught northern newsintweet,1
386,arson,  mourn notic stab arson victim stir polit grief israel,1
387,arson,  mourn notic stab arson victim stir polit grief israel,1
388,arson,  sound arson,0
389,arson,  owner chicago area gay bar admit arson scheme left,0
390,arson,  wait,0
391,arson,  arson suspect link fire caught northern california,1
392,arson,  trial date set man charg arson burglari,1
393,arson,  death palestinian toddler arson attack israel crack jewish,1
394,arson,  palestinian teen kill amid protest arson attack,1
395,arson,  visit polic visit hunt student fail arson plot polic visit hunt student countynew,1
396,arson,  maria get thick shoulder poor girl,1
397,arson,  mourn notic stab arson victim stir polit grief israel poster shirt bank,0
398,arson,  relax mirv rt latim arson suspect link fire caught northern california,1
399,arson,  jewish leader pray hospit palestinian famili treat arson via huffpostrelig,1
400,arson,  owner chicago area gay bar admit arson scheme via theadvocatemag left,0
401,arson,  say ae angel arson,0
402,arson,  visit polic visit hunt student fail arson plot polic visit hunt student countynew,1
403,arson,  mourn notic stab arson victim stir polit grief israel,1
404,arson,  owner chicago area gay bar admit arson scheme via theadvocatemag left,0
405,arson,  owner chicago area gay bar admit arson scheme left,0
406,arson,  mourn notic stab arson victim stir polit grief israel,1
407,arson,  owner chicago area gay bar admit arson scheme left,1
408,arson,  arson suspect link fire caught northern california via latim,1
409,arson,  tennesse lesbian coupl fake hate crime destroy home arson lesbian,1
410,arson,  arson suspect link fire caught northern california lo angel time,1
411,arson,  arson suspect link fire caught northern california,1
412,arsonist,  dc cloudi woodrush hate white peopl mo,1
413,arsonist,  nonplay arsonist mc impress arsonistmus,0
414,arsonist,  alleg east bay serial arsonist arrest,1
415,arsonist,  saffian minor citat possess decrimin substanc im face time,0
416,arsonist,  suspect serial arsonist arrest calif,1
417,arsonist,  arson suspect link fire caught northern california,1
418,arsonist,  local arsonist diamorfiend legal system never forget,0
419,arsonist,  casper rug u dick,0
420,arsonist,  blood orpington arsonist also burn mattress northumberland st facto,0
421,arsonist,  arsonist,0
422,arsonist,  anyth nice say come sit,0
423,arsonist,  vegetarian vegan video show arsonist torch popular bk restaur strictli vegetarian govern unit,0
424,arsonist,  arsonist arrest set mani fire watch tonight headlin nightwear veronicadlcruz minutemen,1
425,arsonist,  video captur man remov american flag long beach ca home burn arsonist sought,0
426,arsonist,  trick think nasti thing,0
427,arsonist,  spotlight take paradis arsonist mc wniagospel arsonistmus,0
428,arsonist,  make,0
429,arsonist,  town salem melt ice cube bc im arsonist,0
430,arsonist,  arsonist blame blaze plastic recycl busi adelaid pcaldicott report news,0
431,arsonist,  hotbox shit,0
432,arsonist,  zodiac girl feat trey dure produc spark beat chuck da arsonist,0
433,arsonist,  local arsonist lifo,0
434,arsonist,  alleg east bay serial arsonist arrest sanfrancisco,1
435,arsonist,  doofu diamorfiend im join still cant move,0
436,arsonist,  local arsonist guess u say shit think,0
437,arsonist,  arsonist set ny vegetarian restaur fire polic network,1
438,arsonist,  like coutur video slimebeast town salem win arsonist,0
439,arsonist,  casper rug bestcomedyvin what crack cuz,0
440,arsonist,  smoke good fuck eat drink drive nice car wear green mink,0
441,arsonist,  kill got court day earl,0
442,arsonist,  local arsonist mao real live go,0
443,arsonist,  owner chicago area gay bar admit arson scheme frank juliott plead guilti hire arsonist,0
444,arsonist,  trust iran stop terror like invit arsonist join fire brigad telegraph,0
445,arsonist,  big top burn true stori arsonist miss girl,1
446,attack,  stay vigil civil liberti constant attack nativehuman religion,1
447,attack,  credit pfannebeck inspir rediscov fantabul tut,0
448,attack,  nashvil theater attack gun grabber demand hatchet control,1
449,attack,  break terror attack polic post unhamp,1
450,attack,  demi stand realli think heart attack sold million copi,0
451,attack,  scare new version nuclear attack warn like know govern still prepar,1
452,attack,  isl claim suicid bomb saudi mosqu kill least,1
453,attack,  datto funniest part twitter feminist tri attack head,0
454,attack,  horrif attack wife muslim itali lifeleaf news,1
455,attack,  blast accus yea yakut die karachi heart attack lumbar,1
456,attack,  tribun us drone attack kill suspect milit north waziristan acebreakingnew,1
457,attack,  suspect latest theater attack psycholog issu,1
458,attack,  milit attack polic post unhamp spot injur liver allthenew,1
459,attack,  break drama offici gave muslim terrorist weapon use texa attack,1
460,attack,  delhi govern provid free treatment acid attack victim privat hospit,1
461,attack,  new post darkread new sob relay attack steal user credenti internet,1
462,attack,  isra forc raid home alleg car attack suspect palestin,1
463,attack,  heart attack thought goat dead worri rocket okay,0
464,attack,  gon na lie kinda readi attack senior year,0
